date,pnl_dollars,pnl_bps_equity,equity_curve,drawdown_dollars
2024-07-30,3999.1231648108674,363.5566513464425,1707422.7375696911,0.0
2024-07-31,1792.0793462523689,162.9163042047608,1709214.8169159435,0.0
2024-08-01,1256.5758455497507,114.23416777725006,1710471.3927614933,0.0
2024-08-02,-2772.5650421519426,-252.05136746835842,1707698.8277193415,-2772.5650421518367
2024-08-05,1142.1379601450492,103.83072364954994,1708840.9656794865,-1630.4270820068195
2024-08-06,-511.7903039622644,-46.52639126929676,1708329.1753755242,-2142.2173859691247
2024-08-07,7807.483893375118,709.7712630341016,1716136.6592688994,0.0
2024-08-08,593.1689893621035,53.92445357837305,1716729.8282582616,0.0
2024-08-09,-2267.145501476587,-206.10413649787156,1714462.682756785,-2267.1455014764797
2024-08-12,341.38183954121496,31.034712685564994,1714804.0645963263,-1925.763661935227
2024-08-13,4214.025720335146,383.093247303195,1719018.0903166614,0.0
2024-08-14,-1279.0253267085561,-116.27502970077784,1717739.0649899528,-1279.0253267085645
2024-08-15,477.2618022043772,43.38743656403429,1718216.3267921573,-801.7635245041456
2024-08-16,-90.98590129058726,-8.271445571871569,1718125.3408908667,-892.7494257946964
2024-08-19,2046.4410379212222,186.04009435647475,1720171.781928788,0.0
2024-08-20,818.4717929073192,74.4065266279381,1720990.2537216952,0.0
2024-08-21,1070.0879160872894,97.28071964429904,1722060.3416377825,0.0
2024-08-22,1028.1581867752286,93.46892607047533,1723088.4998245577,0.0
2024-08-23,-618.0147288143343,-56.18315716493948,1722470.4850957433,-618.0147288143635
2024-08-26,2839.325009862186,258.1204554420169,1725309.8101056055,0.0
2024-08-27,2347.015073808927,213.36500670990245,1727656.8251794144,0.0
2024-08-28,916.0036525228631,83.27305932026029,1728572.8288319372,0.0
2024-08-29,-1166.5503983275619,-106.05003621159653,1727406.2784336095,-1166.550398327643
2024-08-30,1419.1206558299727,129.0109687118157,1728825.3990894395,0.0
2024-09-03,1208.7171373735014,109.88337612486377,1730034.116226813,0.0
2024-09-04,691.5229357634277,62.86572143303888,1730725.6391625765,0.0
2024-09-05,51.94796043924498,4.72254185811318,1730777.5871230157,0.0
2024-09-06,1441.4163726538573,131.03785205944158,1732219.0034956695,0.0
2024-09-09,252.59230604215657,22.962936912923325,1732471.5958017115,0.0
2024-09-10,-1388.6226028068274,-126.2384184369843,1731082.9731989047,-1388.6226028068922
2024-09-11,509.01362389559864,46.27396580869078,1731591.9868228002,-879.608978911303
2024-09-12,1624.3648738318218,147.66953398471108,1733216.351696632,0.0
2024-09-13,328.8122117158068,29.89201924689153,1733545.163908348,0.0
2024-09-16,2253.3652653649506,204.85138776045005,1735798.529173713,0.0
2024-09-17,417.5755196153341,37.961410874121285,1736216.1046933283,0.0
2024-09-18,57.19064264023041,5.199149330930037,1736273.2953359685,0.0
2024-09-19,-646.4485678516126,-58.76805162287387,1735626.8467681168,-646.4485678516794
2024-09-20,397.49477235018264,36.13588839547115,1736024.341540467,-248.95379550149664
2024-09-23,-894.8881390705384,-81.35346718823075,1735129.4534013965,-1143.841934571974
2024-09-24,-1329.8349308345214,-120.89408462132013,1733799.618470562,-2473.6768654065672
2024-09-25,2450.494422870218,222.77222026092892,1736250.1128934321,-23.18244253634475
2024-09-26,290.5004568159311,26.40913243781192,1736540.613350248,0.0
2024-09-27,1074.1038172830113,97.64580157118284,1737614.717167531,0.0
2024-09-30,2094.580698567839,190.41642714253084,1739709.2978660988,0.0
2024-10-01,-607.0246028451222,-55.18405480410202,1739102.2732632537,-607.0246028450783
